City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Geraldton,AU,-28.7667,114.6,75.61,46,0,13.8,clear sky
115,Hamilton,US,39.1834,-84.5333,38.23,60,1,1.01,clear sky
116,Evans,US,33.5337,-82.1307,70.81,64,97,1.99,overcast clouds
117,Rodrigues Alves,BR,-7.738,-72.6509,75.4,96,99,3.29,overcast clouds
118,Autazes,BR,-3.5797,-59.1306,77.54,93,91,1.25,light rain
119,Tezu,IN,27.9167,96.1667,64.81,75,86,2.1,overcast clouds
120,Nisia Floresta,BR,-6.0911,-35.2086,81.41,75,15,9.84,few clouds
121,Hearst,CA,49.6835,-83.6665,-0.15,92,100,15.23,light snow
122,Sobolevo,RU,54.4299,31.8996,28.29,97,100,7.11,light snow
123,Qaanaaq,GL,77.484,-69.3632,19.8,83,100,7.43,overcast clouds
124,Puerto Rico,AR,-26.796,-55.024,83.08,33,3,4.83,clear sky
125,Farah,AF,32.5,62.5,45.25,44,0,2.08,clear sky
126,Georgetown,MY,5.4112,100.3354,77.9,78,20,5.75,few clouds
127,Grindavik,IS,63.8424,-22.4338,36.07,60,75,20.71,broken clouds
128,Severo-Kurilsk,RU,50.6789,156.125,37.15,88,64,16.15,broken clouds
129,Dekar,BW,-21.5333,21.9333,77.41,45,16,8.79,few clouds
130,Krasnyy Klyuch,RU,55.3863,56.6529,1.76,96,53,1.63,broken clouds
131,Sampit,ID,-2.5333,112.95,72.39,98,100,2.44,overcast clouds
132,Kurtamysh,RU,54.9103,64.4319,6.62,90,16,8.61,few clouds
133,Iqaluit,CA,63.7506,-68.5145,10.13,60,40,4.0,scattered clouds
134,Pisco,PE,-13.7,-76.2167,69.85,73,0,13.8,moderate rain
135,Kharan,PK,28.5833,65.4167,54.81,20,1,3.36,clear sky
136,Sabzevar,IR,36.2126,57.6819,45.01,40,5,4.0,clear sky
137,Korla,CN,41.7597,86.1469,29.86,45,100,2.82,overcast clouds
138,Vila Velha,BR,-20.3297,-40.2925,71.55,96,75,6.91,light rain
139,The Valley,AI,18.217,-63.0578,81.1,69,20,12.66,few clouds
140,West Plains,US,36.7281,-91.8524,43.63,38,1,5.01,clear sky
141,Cartagena,CO,10.3997,-75.5144,85.62,70,40,8.05,scattered clouds
142,Aykhal,RU,66.0,111.5,-28.98,100,62,4.88,broken clouds
143,Gisborne,NZ,-38.6533,178.0042,74.95,62,100,6.42,overcast clouds
144,Esperance,AU,-33.8667,121.9,57.51,66,22,11.81,few clouds
145,Cherskiy,RU,68.75,161.3,-24.57,97,100,4.72,overcast clouds
146,Padang,ID,-0.9492,100.3543,76.84,81,91,3.74,overcast clouds
147,San Quintin,MX,30.4833,-115.95,66.11,66,0,8.59,clear sky
148,Liberal,US,37.0431,-100.921,38.44,30,1,10.36,clear sky
149,Mount Pleasant,US,32.7941,-79.8626,68.14,82,1,3.0,clear sky
150,Nanortalik,GL,60.1432,-45.2371,24.46,70,58,42.21,broken clouds
151,Lavrentiya,RU,65.5833,-171.0,-3.12,93,100,9.17,overcast clouds
152,Faanui,PF,-16.4833,-151.75,80.58,78,96,15.61,moderate rain
153,Rocha,UY,-34.4833,-54.3333,66.65,78,26,8.95,scattered clouds
154,Ola,RU,59.5833,151.2833,10.0,92,100,13.78,light snow
155,Muros,ES,42.7762,-9.0603,57.09,96,100,6.62,overcast clouds
156,Marquette,US,46.5333,-87.6335,15.24,77,92,15.97,overcast clouds
157,Ponta Do Sol,PT,32.6667,-17.1,65.03,72,63,8.21,broken clouds
158,Mount Gambier,AU,-37.8333,140.7667,57.69,54,70,9.06,broken clouds
159,Yakeshi,CN,49.2833,120.7333,9.84,90,13,6.78,few clouds
160,Bilibino,RU,68.0546,166.4372,-23.46,98,100,2.64,overcast clouds
161,Mildura,AU,-34.2,142.15,64.36,52,5,13.8,clear sky
162,Pochutla,MX,15.7432,-96.4661,89.42,47,0,6.46,clear sky
163,Yumen,CN,40.2833,97.2,24.67,52,100,6.73,overcast clouds
164,Lucena,PH,13.9314,121.6172,74.34,89,51,9.44,broken clouds
165,Port Alfred,ZA,-33.5906,26.891,64.98,87,74,10.54,broken clouds
166,Guerrero Negro,MX,27.9769,-114.0611,73.67,46,0,9.4,clear sky
167,Gambo,CF,4.6482,22.2633,73.53,68,98,1.07,overcast clouds
168,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,20,8.05,few clouds
169,Chlorakas,CY,34.8042,32.4083,63.63,86,12,6.91,few clouds
170,Upernavik,GL,72.7868,-56.1549,18.01,93,100,6.22,overcast clouds
171,Tiksi,RU,71.6872,128.8694,-24.97,92,100,9.66,overcast clouds
172,Dicabisagan,PH,17.0818,122.4157,74.53,85,94,14.18,overcast clouds
173,Port Hedland,AU,-20.3167,118.5667,82.45,83,84,6.91,broken clouds
174,Hokitika,NZ,-42.7167,170.9667,55.27,72,100,1.12,overcast clouds
175,Cockburn Town,TC,21.4612,-71.1419,80.73,80,93,19.66,overcast clouds
176,Mogadishu,SO,2.0371,45.3438,79.29,76,91,14.58,overcast clouds
177,Mackay,AU,-21.15,149.2,81.68,62,99,11.72,overcast clouds
178,Antofagasta,CL,-23.65,-70.4,65.5,73,45,7.31,scattered clouds
179,Thompson,CA,55.7435,-97.8558,-18.24,69,20,6.91,few clouds
180,Pangnirtung,CA,66.1451,-65.7125,12.2,67,90,11.5,light snow
181,Vardo,NO,70.3705,31.1107,11.95,83,99,14.5,overcast clouds
182,Ust-Tsilma,RU,65.441,52.1498,11.97,93,99,8.5,overcast clouds
183,Ilulissat,GL,69.2167,-51.1,19.42,49,90,14.97,overcast clouds
184,Faro,PT,37.0194,-7.9322,49.78,93,0,0.0,clear sky
185,La Ronge,CA,55.1001,-105.2842,-7.35,71,100,2.3,overcast clouds
186,Hithadhoo,MV,-0.6,73.0833,81.7,77,42,17.98,scattered clouds
187,Suntar,RU,62.1444,117.6319,-18.35,96,74,3.76,broken clouds
188,Bama,NG,11.5221,13.6856,73.08,27,100,5.59,overcast clouds
189,Point Pleasant,US,40.0832,-74.0682,64.51,85,1,5.01,clear sky
190,Paray-Le-Monial,FR,46.4546,4.1158,39.97,92,90,3.44,mist
191,Anaconda,US,46.1285,-112.9423,36.77,59,100,8.21,overcast clouds
192,Luau,AO,-10.7073,22.2247,64.11,97,59,3.22,light rain
193,Bagojo,MX,25.8667,-109.1167,80.51,29,0,8.14,clear sky
194,Bataipora,BR,-22.2953,-53.2711,88.57,30,50,8.75,scattered clouds
195,Khatanga,RU,71.9667,102.5,-7.13,98,100,8.79,light snow
196,Henties Bay,NA,-22.116,14.2845,59.86,91,0,3.91,clear sky
197,Cabo San Lucas,MX,22.8909,-109.9124,82.51,63,1,3.0,clear sky
198,Raga,SS,8.4596,25.678,77.9,29,13,3.15,few clouds
199,Atar,MR,20.5169,-13.0499,68.81,13,99,9.93,overcast clouds
200,Jalalabad,AF,34.4265,70.4515,54.63,46,92,1.99,overcast clouds
201,Udachnyy,RU,66.4167,112.4,-36.33,99,78,5.06,broken clouds
202,Kilindoni,TZ,-7.9139,39.6668,81.14,73,25,9.4,scattered clouds
203,Flinders,AU,-34.5833,150.8552,72.18,74,31,4.72,scattered clouds
204,Sorland,NO,67.667,12.6934,26.6,64,3,14.54,clear sky
205,Chekhov,RU,55.1431,37.4711,25.09,82,100,8.93,light snow
206,Nouadhibou,MR,20.931,-17.0347,67.98,52,91,9.22,overcast clouds
207,General Cepeda,MX,25.3833,-101.45,76.41,32,89,14.7,overcast clouds
208,Indianola,US,41.3581,-93.5574,24.66,43,3,12.06,clear sky
209,San Patricio,US,28.017,-97.5169,72.01,58,100,18.95,overcast clouds
210,Gopalpur,IN,19.2667,84.9167,73.87,90,7,6.55,clear sky
211,Srednekolymsk,RU,67.45,153.6833,-32.94,96,98,1.92,overcast clouds
212,Airai,TL,-8.9266,125.4092,62.2,90,86,2.28,overcast clouds
213,Egvekinot,RU,66.3167,-179.1667,2.86,91,100,5.97,overcast clouds
214,Birpur,IN,26.5167,87.0167,66.42,74,0,3.74,clear sky
215,Hasaki,JP,35.7333,140.8333,48.29,79,96,15.21,overcast clouds
216,Grezzana,IT,45.5203,11.0177,37.99,100,0,1.14,clear sky
217,Port-Gentil,GA,-0.7193,8.7815,78.35,84,100,7.14,overcast clouds
218,Cayenne,GF,4.9333,-52.3333,78.1,89,0,0.0,clear sky
219,Gornyy,RU,55.1153,83.9059,27.79,96,100,12.62,snow
220,Adolfo Lopez Mateos,MX,28.4667,-107.3,63.93,19,0,15.88,clear sky
221,Kichera,RU,55.9375,110.0997,25.39,97,100,4.97,snow
222,Camacha,PT,33.0833,-16.3333,62.02,59,75,9.22,broken clouds
223,Ekhabi,RU,53.5102,142.9671,22.48,89,90,34.2,light snow
224,Nyurba,RU,63.2842,118.3319,-24.7,100,86,3.76,overcast clouds
225,Bani Walid,LY,31.7566,13.9942,50.58,38,0,34.65,clear sky
226,Ambon,ID,-3.6954,128.1814,78.94,89,40,6.91,scattered clouds
227,Kokkola,FI,63.8385,23.1307,12.92,90,20,3.44,few clouds
228,Kununurra,AU,-15.7667,128.7333,80.58,94,69,8.05,broken clouds
229,Kang,BW,-23.6752,22.7876,77.02,44,51,3.62,broken clouds
230,Nikolskoye,RU,59.7035,30.7861,5.02,96,100,3.83,light snow
231,Siderno,IT,38.2779,16.302,51.84,74,27,8.88,scattered clouds
232,Mantua,IT,45.1667,10.7833,39.81,90,1,3.0,clear sky
233,Norman Wells,CA,65.282,-126.8329,-9.36,70,20,5.75,few clouds
234,Hervey Bay,AU,-25.2986,152.8535,77.11,74,99,8.81,overcast clouds
235,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,100,90,18.41,snow
236,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,73,75,11.5,broken clouds
237,Leningradskiy,RU,69.3833,178.4167,-6.47,87,100,27.49,overcast clouds
238,Sawakin,SD,19.1059,37.3321,81.99,69,1,8.25,clear sky
239,Khilok,RU,51.3674,110.4676,11.32,86,15,3.4,few clouds
240,Deputatskiy,RU,69.3,139.9,-22.9,99,100,0.98,overcast clouds
241,Namatanai,PG,-3.6667,152.4333,80.65,83,100,4.25,light rain
242,Ostersund,SE,63.1792,14.6357,7.25,85,81,10.36,broken clouds
243,Vostok,RU,46.4856,135.8833,7.75,99,99,4.32,overcast clouds
244,Black River,JM,18.0264,-77.8487,84.2,73,8,9.98,clear sky
245,Cap Malheureux,MU,-19.9842,57.6142,78.48,69,0,7.0,clear sky
246,Hofn,IS,64.2539,-15.2082,37.98,68,100,16.96,overcast clouds
247,Bonthe,SL,7.5264,-12.505,80.55,81,37,6.49,scattered clouds
248,Lively,CA,46.4334,-81.1498,32.81,84,90,12.44,light snow
249,Iralaya,HN,15.0,-83.2333,84.29,84,7,9.53,clear sky
250,Barnova,RO,47.0667,27.6167,36.95,100,90,8.05,light intensity drizzle
251,Verkhoyansk,RU,67.5447,133.385,-40.07,93,82,3.78,broken clouds
252,Solnechnyy,RU,50.7214,136.6319,9.41,62,40,5.66,scattered clouds
253,Ossora,RU,59.2353,163.0719,12.61,85,99,5.93,overcast clouds
254,Cervo,ES,43.6702,-7.4101,55.53,85,82,1.99,broken clouds
255,Port Elizabeth,ZA,-33.918,25.5701,62.1,90,83,9.37,broken clouds
256,Saint-Augustin,CA,51.226,-58.6502,23.41,54,100,6.64,overcast clouds
257,Chengam,IN,12.3,78.8,71.62,95,68,1.63,broken clouds
258,Roma,US,43.2128,-75.4557,45.52,89,90,1.99,moderate rain
259,Cascais,PT,38.6979,-9.4215,58.46,78,22,1.01,few clouds
260,Avarua,CK,-21.2078,-159.775,75.25,94,75,6.91,light rain
261,Ancud,CL,-41.8697,-73.8203,68.86,55,0,1.14,clear sky
262,Celestun,MX,20.8667,-90.4,79.95,76,8,11.43,clear sky
263,Santa Clara,CU,22.4,-79.9667,85.66,66,40,2.3,scattered clouds
264,Paro,BT,27.4305,89.4133,39.83,90,34,3.83,scattered clouds
265,Pacifica,US,37.6138,-122.4869,60.3,85,90,1.99,mist
266,Bikaner,IN,28.0167,73.3,62.51,39,0,7.54,clear sky
267,Stromness,GB,58.965,-3.296,40.96,69,15,29.39,few clouds
268,Frontignan,FR,43.4485,3.754,52.0,74,90,8.68,overcast clouds
269,Vao,NC,-22.6667,167.4833,77.83,79,0,6.98,clear sky
270,Sooke,CA,48.3746,-123.7276,43.07,96,100,25.32,overcast clouds
271,Cutro,IT,39.0353,16.9819,43.86,84,64,10.42,broken clouds
272,Codrington,AU,-38.2667,141.9667,57.09,58,99,14.61,overcast clouds
273,Tynset,NO,62.2759,10.7824,1.02,97,100,9.91,overcast clouds
274,Lata,PT,40.1629,-8.3327,58.05,95,100,2.13,overcast clouds
275,Ulaangom,MN,49.9811,92.0667,4.41,84,90,5.06,overcast clouds
276,Limon,CR,10.0,-83.0333,84.09,74,0,3.44,clear sky
277,Champerico,GT,14.3,-91.9167,89.76,64,10,7.4,clear sky
278,Kavieng,PG,-2.5744,150.7967,82.33,81,100,11.48,moderate rain
279,Baykit,RU,61.67,96.37,-1.16,99,100,1.61,overcast clouds
280,Itacarambi,BR,-15.1022,-44.0919,73.38,87,57,2.17,moderate rain
281,Shelburne,CA,44.0787,-80.2041,31.57,84,75,21.3,light snow
282,Verkhnevilyuysk,RU,63.4453,120.3167,-26.46,100,96,2.84,overcast clouds
283,Yerbogachen,RU,61.2767,108.0108,-9.76,98,98,2.28,overcast clouds
284,Diapaga,BF,12.0708,1.7889,78.13,19,62,6.85,broken clouds
285,Tongeren,BE,50.7805,5.4648,39.94,94,75,20.71,light rain
286,Kreminna,UA,49.0495,38.2179,37.56,95,100,9.06,overcast clouds
287,Tateyama,JP,34.9833,139.8667,55.09,84,99,20.92,overcast clouds
288,Constitucion,CL,-35.3333,-72.4167,60.82,78,62,10.25,broken clouds
289,Carballo,ES,43.213,-8.691,56.01,94,98,2.93,overcast clouds
290,Kudahuvadhoo,MV,2.6708,72.8944,81.25,78,38,11.32,scattered clouds
291,Takoradi,GH,4.8845,-1.7554,80.65,82,95,8.88,overcast clouds
292,Williston,US,48.147,-103.618,12.61,78,98,1.01,overcast clouds
293,Laguna,US,38.421,-121.4238,55.24,90,90,1.01,mist
294,Lensk,RU,60.7253,114.9278,-13.4,100,16,4.81,few clouds
295,Careiro Da Varzea,BR,-3.2003,-59.8119,79.43,92,86,2.66,moderate rain
296,Tupiza,BO,-21.45,-65.7167,60.24,62,97,9.89,light rain
297,Emirdag,TR,39.0197,31.15,46.17,86,9,5.3,clear sky
298,Lompoc,US,34.6391,-120.4579,71.22,77,1,5.75,clear sky
299,Berkovica,BA,44.6156,18.4294,35.91,96,100,4.99,light rain
300,Lazaro Cardenas,MX,17.9583,-102.2,84.16,61,9,9.15,clear sky
301,Valparaiso,CL,-33.0393,-71.6273,62.47,73,1,8.95,clear sky
302,Olafsvik,IS,64.8945,-23.7142,35.64,86,100,20.04,moderate rain
303,Mali,GN,12.079,-12.2982,63.72,20,28,2.55,scattered clouds
304,Canico,PT,32.6333,-16.85,65.48,80,75,1.01,broken clouds
305,Pombas,CV,17.1503,-25.0201,71.38,74,4,13.44,clear sky
306,Pacific Grove,US,36.6177,-121.9166,64.42,84,75,4.0,broken clouds
307,Hukuntsi,BW,-24.0,21.75,76.89,21,4,13.09,clear sky
308,Beringovskiy,RU,63.05,179.3167,-6.95,86,76,9.53,broken clouds
309,Irbit,RU,57.6705,63.071,4.91,85,15,5.77,few clouds
310,Husavik,IS,66.0449,-17.3389,31.91,88,73,9.64,broken clouds
311,Manavalakurichi,IN,8.1333,77.3,78.89,84,16,4.29,few clouds
312,George,ZA,-33.963,22.4617,60.08,84,94,2.08,overcast clouds
313,Sept-Iles,CA,50.2001,-66.3821,28.06,96,90,15.99,snow
314,Westport,US,41.1415,-73.3579,58.55,93,90,1.01,overcast clouds
315,Aklavik,CA,68.2191,-135.0107,16.52,78,75,6.91,broken clouds
316,Vanimo,PG,-2.6741,141.3028,79.56,88,100,3.96,overcast clouds
317,Kletskaya,RU,49.3145,43.0584,30.07,97,100,7.02,overcast clouds
318,Togur,RU,58.3631,82.8265,14.83,96,100,5.17,snow
319,Zhigansk,RU,66.7697,123.3711,-25.51,96,100,10.78,overcast clouds
320,Kuryk,KZ,43.2,51.65,45.39,62,10,4.05,clear sky
321,Barcelos,PT,41.5388,-8.6151,57.34,96,100,4.47,overcast clouds
322,Anapskaya,RU,44.89,37.38,53.83,81,20,13.42,few clouds
