City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Iqaluit,CA,10.13,scattered clouds,63.7506,-68.5145,Frobisher Inn
134,Pisco,PE,69.85,moderate rain,-13.7,-76.2167,Hotel San Isidro Oficial
135,Kharan,PK,54.81,clear sky,28.5833,65.4167,Dil Aram Bangla
136,Sabzevar,IR,45.01,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
137,Korla,CN,29.86,overcast clouds,41.7597,86.1469,Gulisitan Hotel
138,Vila Velha,BR,71.55,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
139,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
140,West Plains,US,43.63,clear sky,36.7281,-91.8524,West Plains Motel
141,Cartagena,CO,85.62,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
143,Gisborne,NZ,74.95,overcast clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
144,Esperance,AU,57.51,few clouds,-33.8667,121.9,Hospitality Esperance
146,Padang,ID,76.84,overcast clouds,-0.9492,100.3543,Mercure Padang
147,San Quintin,MX,66.11,clear sky,30.4833,-115.95,Don Eddie's Landing
148,Liberal,US,38.44,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
149,Mount Pleasant,US,68.14,clear sky,32.7941,-79.8626,Best Western Patriots Point
150,Nanortalik,GL,24.46,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
152,Faanui,PF,80.58,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
153,Rocha,UY,66.65,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
155,Muros,ES,57.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
156,Marquette,US,15.24,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
157,Ponta Do Sol,PT,65.03,broken clouds,32.6667,-17.1,Hotel do Campo
158,Mount Gambier,AU,57.69,broken clouds,-37.8333,140.7667,The Commodore
159,Yakeshi,CN,9.84,few clouds,49.2833,120.7333,Longhua Hotel
161,Mildura,AU,64.36,clear sky,-34.2,142.15,Mercure Hotel Mildura
162,Pochutla,MX,89.42,clear sky,15.7432,-96.4661,Hotel Posada San Jose
164,Lucena,PH,74.34,broken clouds,13.9314,121.6172,The Star Garden Tower Hotel
165,Port Alfred,ZA,64.98,broken clouds,-33.5906,26.891,The Halyards Hotel
