City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Anaco,VE,84.33,broken clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
407,Sao Filipe,CV,77.74,few clouds,14.8961,-24.4956,Hotel Xaguate
408,Grand Baie,MU,78.46,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
409,Liku,ID,76.19,overcast clouds,-0.7275,119.8922,Wahyu
412,Santa Isabel Do Rio Negro,BR,75.94,moderate rain,-0.4139,-65.0192,Hotel GSA
417,Les Cayes,HT,80.13,clear sky,18.2,-73.75,Villa Orphee
420,Gizo,SB,82.53,moderate rain,-8.103,156.8419,Imagination Island
422,Belmonte,BR,79.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
425,Rayon,MX,70.95,broken clouds,19.1444,-99.5836,La Paloma
428,Richards Bay,ZA,73.69,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
429,Kieta,PG,83.95,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
439,Paita,PE,75.76,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
440,Clarence Town,AU,70.86,light rain,-32.5833,151.7833,River Downs Cottage
441,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
444,Bambui,BR,70.2,clear sky,-20.0064,-45.9769,Paulinelli Palace Hotel
446,Alta Floresta,BR,75.4,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
450,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
452,Puerto Colombia,CO,82.49,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
453,Wajir,KE,79.92,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
458,Daru,PG,80.78,overcast clouds,-9.0763,143.2092,Daru Lodge
459,Akim Swedru,GH,77.14,overcast clouds,5.8938,-1.0164,Green Pearls Inn
460,Nueve De Julio,AR,78.85,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
462,Necochea,AR,72.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
464,Bintulu,MY,73.81,few clouds,3.1667,113.0333,900 Boutique INN
471,Camopi,GF,73.72,overcast clouds,3.1655,-52.3158,La pousada
474,Buala,SB,82.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
477,La Orilla,MX,83.97,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
478,Tignere,CM,71.6,overcast clouds,7.3667,12.65,SADECK
485,Ewa Beach,US,75.15,heavy intensity rain,21.3156,-158.0072,Uncle Junior Robert
486,Vila Do Maio,CV,75.99,few clouds,15.1333,-23.2167,Hotel Marilu
495,Sambava,MG,75.7,light rain,-14.2667,50.1667,Melrose
496,Rio Grande,BR,71.71,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
497,Umm Lajj,SA,74.21,few clouds,25.0213,37.2685,Moon light Furnished Units
505,Tzucacab,MX,84.65,broken clouds,20.0667,-89.05,Hotel Jabines Centro
506,Caravelas,BR,76.69,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
511,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
512,Ahipara,NZ,70.61,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
516,Port Moresby,PG,80.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
517,Seybaplaya,MX,87.26,clear sky,19.65,-90.6667,sala de fiesta san Rafael
519,Bac Lieu,VN,74.62,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
520,Kalemie,CD,71.64,overcast clouds,-5.9475,29.1947,Mahobilali
521,Koumac,NC,83.59,clear sky,-20.5667,164.2833,Le Monitel
529,Veraval,IN,72.79,clear sky,20.9,70.3667,Lords Inn Somnath
530,Borba,BR,76.96,light rain,-4.3878,-59.5939,Hotel da Amazônia
532,Sao Joao Da Barra,BR,72.27,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
533,Buta,CD,72.21,scattered clouds,2.7858,24.73,HOTEL BISO NA BISO
534,Axim,GH,80.04,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
535,Corpus Christi,US,72.16,overcast clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
537,Hwange,ZW,74.8,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
540,Biltine,TD,75.63,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
544,Grand Gaube,MU,78.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
545,Kupang,ID,81.43,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
546,Moron,AR,76.95,clear sky,-34.6534,-58.6198,Hotel Morón
547,Chongwe,ZM,75.74,broken clouds,-15.3292,28.682,Grakas Lodge
555,Escuinapa,MX,84.11,overcast clouds,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
557,Aquiraz,BR,82.22,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
559,Rafaela,AR,89.06,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
560,Kavaratti,IN,80.06,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
562,Ende,ID,79.2,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
566,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
567,Xai-Xai,MZ,80.8,scattered clouds,-25.0519,33.6442,Complexo da Familia
571,Auki,SB,81.45,overcast clouds,-8.7676,160.7034,Auki Motel
572,Sydney,AU,73.26,light rain,-33.8679,151.2073,The Grace Sydney
573,Manaure,CO,87.91,scattered clouds,11.7751,-72.4445,Hotel Palaaima
574,Bradenton,US,77.05,clear sky,27.4989,-82.5748,Courtyard by Marriott Bradenton Sarasota/Riverfront
576,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
577,Sur,OM,72.1,clear sky,22.5667,59.5289,Sur Plaza Hotel
585,Mana,GF,77.52,overcast clouds,5.6592,-53.7767,LE SAMANA
588,Waingapu,ID,78.78,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
589,Kapiri Mposhi,ZM,72.57,broken clouds,-13.9652,28.6809,MA 22 LODGE
595,Soyo,AO,78.87,broken clouds,-6.1349,12.3689,Hotel Mpampa
597,Vilcun,CL,76.86,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
598,Coachella,US,84.52,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
599,Sola,VU,76.39,moderate rain,-13.8833,167.55,Leumerus Bungalows
605,Coxim,BR,83.91,broken clouds,-18.5067,-54.76,Hotel Avenida
606,Linhares,BR,70.97,overcast clouds,-19.3911,-40.0722,Hotel Conceição
608,Ahuimanu,US,74.91,moderate rain,21.4447,-157.8378,Paradise Bay Resort
609,Mahanoro,MG,73.53,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
613,Meulaboh,ID,77.63,broken clouds,4.1363,96.1285,Kost Pria
621,Tera,NE,78.17,clear sky,14.0078,0.7531,Hotel Dar es salam
629,Makakilo City,US,73.72,moderate rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
634,Remedios,CU,86.92,scattered clouds,22.4947,-79.5458,Hostal Yunai
640,Sulangan,PH,80.62,overcast clouds,11.1373,123.7228,Maia's Beach Resort
641,Puerto Narino,CO,75.15,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
642,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
643,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
649,Angoche,MZ,77.45,broken clouds,-16.2325,39.9086,Guest House HESADA
651,Mandera,KE,83.48,broken clouds,3.9366,41.867,Mwalimu Guest mandera
654,Novo Aripuana,BR,76.17,moderate rain,-5.1206,-60.3797,Hotel Ezequiel
655,Kirakira,SB,83.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
658,Bundaberg,AU,77.29,overcast clouds,-24.85,152.35,Takalvan Motel
663,Omboue,GA,75.65,overcast clouds,-1.5746,9.2618,Hotel Olako
668,Bima,ID,77.76,overcast clouds,-8.4667,118.7167,Lambitu Hotel
669,Silvassa,IN,70.47,clear sky,20.2667,73.0167,Wonderland Resort
670,Soe,ID,72.09,overcast clouds,-9.8607,124.284,Dena Hotel
