City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Salinopolis,BR,-0.6136,-47.3561,79.23,87,75,9.62
152,Lavrentiya,RU,65.5833,-171.0,-3.12,93,100,9.17
153,Athabasca,CA,54.7169,-113.2854,10.22,77,1,4.41
154,Magadan,RU,59.5667,150.8,11.61,83,100,12.24
155,Teknaf,BD,20.8624,92.3058,77.14,72,99,8.66
156,Rocha,UY,-34.4833,-54.3333,66.65,78,26,8.95
157,Lorengau,PG,-2.0226,147.2712,83.88,81,96,14.32
158,Hambantota,LK,6.1241,81.1185,75.54,100,40,2.3
159,Brae,GB,60.3964,-1.353,42.71,71,100,16.51
160,Northam,GB,51.0333,-4.2167,46.62,63,50,18.19
161,Nampula,MZ,-15.1165,39.2666,78.75,69,0,12.66
162,Hillsborough,US,37.5741,-122.3794,61.0,85,90,6.91
163,Gat,IL,31.61,34.7642,66.4,28,88,4.07
164,Iskateley,RU,67.6803,53.1512,16.75,94,84,7.02
165,Ilulissat,GL,69.2167,-51.1,10.24,72,90,8.55
166,Omuta,JP,33.0333,130.45,47.89,67,0,4.9
167,Manjacaze,MZ,-24.7117,33.8828,79.11,60,20,9.22
168,Hilo,US,19.7297,-155.09,78.28,91,90,9.22
169,Moindou,NC,-21.6924,165.677,84.15,60,0,1.45
170,Bayan,CN,46.0833,127.4,11.05,93,15,5.26
171,Sayyan,YE,15.1718,44.3244,47.43,32,0,3.87
172,Catalina,US,32.5056,-110.9211,78.26,19,1,1.01
173,Vancouver,CA,49.2497,-123.1193,38.35,95,90,1.01
174,Ivanivka,UA,46.7208,34.553,48.27,90,100,10.49
175,Basco,PH,20.4487,121.9702,76.73,67,98,28.5
176,Pacific Grove,US,36.6177,-121.9166,64.98,85,75,1.99
177,Henties Bay,NA,-22.116,14.2845,58.86,91,0,3.91
178,Oranjemund,NA,-28.55,16.4333,60.76,87,15,18.41
179,Port Hardy,CA,50.6996,-127.4199,41.0,87,90,26.46
180,Saquena,PE,-4.6667,-73.5167,77.72,95,91,2.48
181,Turangi,NZ,-39.0,175.9333,68.43,95,100,4.03
182,Kaitangata,NZ,-46.2817,169.8464,53.24,79,92,10.45
183,Sisimiut,GL,66.9395,-53.6735,22.1,75,100,20.07
184,Padang,ID,-0.9492,100.3543,76.84,81,91,3.74
185,Garowe,SO,8.4054,48.4845,67.64,71,34,9.24
186,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,78,75,13.8
187,La Barca,MX,20.2833,-102.5667,78.3,27,30,4.32
188,Tateyama,JP,34.9833,139.8667,55.09,84,99,20.92
189,Taoudenni,ML,22.6783,-3.9836,65.19,17,94,12.71
190,Awbari,LY,26.5921,12.7805,48.18,44,0,8.68
191,Baker City,US,44.7749,-117.8344,32.59,94,90,0.0
192,East Massapequa,US,40.6734,-73.4365,59.32,78,99,15.01
193,Amahai,ID,-3.3333,128.9167,78.58,85,100,2.37
194,Jaranwala,PK,31.3333,73.4333,57.72,52,0,4.41
